broker_id,agency_name,broker_tier,total_listings,active_listings,median_listing_price,avg_days_on_market,_gold_created_at,_gold_schema_version
BRK-0315,Propiq Synthetic Agency 315,Premier,170,80,13920510,423.9,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0178,Propiq Synthetic Agency 178,Standard,155,75,12861792,443.8,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0128,Propiq Synthetic Agency 128,Verified,152,75,14307132,463.3,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0078,Propiq Synthetic Agency 078,Premier,157,81,13440304,466.9,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0251,Propiq Synthetic Agency 251,Verified,148,78,13579800,506.0,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0316,Propiq Synthetic Agency 316,Standard,142,79,14660672,484.0,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0263,Propiq Synthetic Agency 263,Verified,145,67,14360105,453.9,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0065,Propiq Synthetic Agency 065,Verified,168,85,14105042,466.5,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0232,Propiq Synthetic Agency 232,Standard,154,66,13898782,414.0,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0137,Propiq Synthetic Agency 137,Verified,139,63,14209524,438.9,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0155,Propiq Synthetic Agency 155,Verified,157,69,16407144,402.8,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0066,Propiq Synthetic Agency 066,Premier,144,72,12917905,476.5,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0012,Propiq Synthetic Agency 012,Premier,144,72,14248990,463.4,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0279,Propiq Synthetic Agency 279,Premier,139,69,12834774,443.5,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0122,Propiq Synthetic Agency 122,Verified,151,69,12916782,432.7,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0236,Propiq Synthetic Agency 236,Verified,150,84,15089184,474.1,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0068,Propiq Synthetic Agency 068,Verified,151,77,13293882,438.5,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0289,Propiq Synthetic Agency 289,Standard,164,76,13086752,441.3,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0202,Propiq Synthetic Agency 202,Standard,145,70,14019376,439.1,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
BRK-0077,Propiq Synthetic Agency 077,Verified,147,77,14518734,488.9,2026-09-17T08:19:36.395Z,propiq_gold_v1.0
