broker_id,agency_name,city,broker_tier,service_rating,onboarded_date,_gold_created_at,_gold_schema_version
BRK-0001,Propiq Synthetic Agency 001,Hyderabad,Standard,3.0,2021-01-01,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0002,Propiq Synthetic Agency 002,Bengaluru,Verified,4.7,2021-01-20,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0003,Propiq Synthetic Agency 003,Pune,Premier,4.4,2021-02-08,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0004,Propiq Synthetic Agency 004,Chennai,Standard,4.1,2021-02-27,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0005,Propiq Synthetic Agency 005,Hyderabad,Verified,3.8,2021-03-18,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0006,Propiq Synthetic Agency 006,Bengaluru,Premier,3.5,2021-04-06,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0007,Propiq Synthetic Agency 007,Pune,Standard,3.2,2021-04-25,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0008,Propiq Synthetic Agency 008,Chennai,Verified,4.9,2021-05-14,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0009,Propiq Synthetic Agency 009,Hyderabad,Premier,4.6,2021-06-02,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0010,Propiq Synthetic Agency 010,Bengaluru,Standard,4.3,2021-06-21,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0011,Propiq Synthetic Agency 011,Pune,Verified,4.0,2021-07-10,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0012,Propiq Synthetic Agency 012,Chennai,Premier,3.7,2021-07-29,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0013,Propiq Synthetic Agency 013,Hyderabad,Standard,3.4,2021-08-17,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0014,Propiq Synthetic Agency 014,Bengaluru,Verified,3.1,2021-09-05,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0015,Propiq Synthetic Agency 015,Pune,Premier,4.8,2021-09-24,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0016,Propiq Synthetic Agency 016,Chennai,Standard,4.5,2021-10-13,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0017,Propiq Synthetic Agency 017,Hyderabad,Verified,4.2,2021-11-01,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0018,Propiq Synthetic Agency 018,Bengaluru,Premier,3.9,2021-11-20,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0019,Propiq Synthetic Agency 019,Pune,Standard,3.6,2021-12-09,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0020,Propiq Synthetic Agency 020,Chennai,Verified,3.3,2021-12-28,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0021,Propiq Synthetic Agency 021,Hyderabad,Premier,3.0,2022-01-16,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0022,Propiq Synthetic Agency 022,Bengaluru,Standard,4.7,2022-02-04,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0023,Propiq Synthetic Agency 023,Pune,Verified,4.4,2022-02-23,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0024,Propiq Synthetic Agency 024,Chennai,Premier,4.1,2022-03-14,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0025,Propiq Synthetic Agency 025,Hyderabad,Standard,3.8,2022-04-02,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0026,Propiq Synthetic Agency 026,Bengaluru,Verified,3.5,2022-04-21,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0027,Propiq Synthetic Agency 027,Pune,Premier,3.2,2022-05-10,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0028,Propiq Synthetic Agency 028,Chennai,Standard,4.9,2022-05-29,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0029,Propiq Synthetic Agency 029,Hyderabad,Verified,4.6,2022-06-17,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0030,Propiq Synthetic Agency 030,Bengaluru,Premier,4.3,2022-07-06,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0031,Propiq Synthetic Agency 031,Pune,Standard,4.0,2022-07-25,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0032,Propiq Synthetic Agency 032,Chennai,Verified,3.7,2022-08-13,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0033,Propiq Synthetic Agency 033,Hyderabad,Premier,3.4,2022-09-01,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0034,Propiq Synthetic Agency 034,Bengaluru,Standard,3.1,2022-09-20,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0035,Propiq Synthetic Agency 035,Pune,Verified,4.8,2022-10-09,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0036,Propiq Synthetic Agency 036,Chennai,Premier,4.5,2022-10-28,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0037,Propiq Synthetic Agency 037,Hyderabad,Standard,4.2,2022-11-16,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0038,Propiq Synthetic Agency 038,Bengaluru,Verified,3.9,2022-12-05,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0039,Propiq Synthetic Agency 039,Pune,Premier,3.6,2022-12-24,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0040,Propiq Synthetic Agency 040,Chennai,Standard,3.3,2023-01-12,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0041,Propiq Synthetic Agency 041,Hyderabad,Verified,3.0,2023-01-31,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0042,Propiq Synthetic Agency 042,Bengaluru,Premier,4.7,2023-02-19,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0043,Propiq Synthetic Agency 043,Pune,Standard,4.4,2023-03-10,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0044,Propiq Synthetic Agency 044,Chennai,Verified,4.1,2023-03-29,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0045,Propiq Synthetic Agency 045,Hyderabad,Premier,3.8,2023-04-17,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0046,Propiq Synthetic Agency 046,Bengaluru,Standard,3.5,2023-05-06,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0047,Propiq Synthetic Agency 047,Pune,Verified,3.2,2023-05-25,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0048,Propiq Synthetic Agency 048,Chennai,Premier,4.9,2023-06-13,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0049,Propiq Synthetic Agency 049,Hyderabad,Standard,4.6,2023-07-02,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0050,Propiq Synthetic Agency 050,Bengaluru,Verified,4.3,2023-07-21,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0051,Propiq Synthetic Agency 051,Pune,Premier,4.0,2023-08-09,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0052,Propiq Synthetic Agency 052,Chennai,Standard,3.7,2023-08-28,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0053,Propiq Synthetic Agency 053,Hyderabad,Verified,3.4,2023-09-16,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0054,Propiq Synthetic Agency 054,Bengaluru,Premier,3.1,2023-10-05,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0055,Propiq Synthetic Agency 055,Pune,Standard,4.8,2023-10-24,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0056,Propiq Synthetic Agency 056,Chennai,Verified,4.5,2023-11-12,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0057,Propiq Synthetic Agency 057,Hyderabad,Premier,4.2,2023-12-01,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0058,Propiq Synthetic Agency 058,Bengaluru,Standard,3.9,2023-12-20,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0059,Propiq Synthetic Agency 059,Pune,Verified,3.6,2024-01-08,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0060,Propiq Synthetic Agency 060,Chennai,Premier,3.3,2024-01-27,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0061,Propiq Synthetic Agency 061,Hyderabad,Standard,3.0,2024-02-15,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0062,Propiq Synthetic Agency 062,Bengaluru,Verified,4.7,2024-03-05,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0063,Propiq Synthetic Agency 063,Pune,Premier,4.4,2024-03-24,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0064,Propiq Synthetic Agency 064,Chennai,Standard,4.1,2024-04-12,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
BRK-0065,Propiq Synthetic Agency 065,Hyderabad,Verified,3.8,2024-05-01,2026-09-17T07:56:51.424Z,propiq_gold_v1.0
