locality_id,locality_name,city,city_zone,market_segment,reference_price_per_sqft,_gold_created_at,_gold_schema_version
LOC-001,Hyderabad North Cluster 01,Hyderabad,North,Affordable,5200,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-002,Bengaluru North Cluster 01,Bengaluru,North,Mid-market,7780,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-003,Pune North Cluster 01,Pune,North,Premium,11560,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-004,Chennai North Cluster 01,Chennai,North,Luxury,17340,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-005,Hyderabad South Cluster 01,Hyderabad,South,Affordable,5920,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-006,Bengaluru South Cluster 01,Bengaluru,South,Mid-market,7600,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-007,Pune South Cluster 01,Pune,South,Premium,11380,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-008,Chennai South Cluster 01,Chennai,South,Luxury,17160,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-009,Hyderabad East Cluster 01,Hyderabad,East,Affordable,5740,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-010,Bengaluru East Cluster 01,Bengaluru,East,Mid-market,8320,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-011,Pune East Cluster 01,Pune,East,Premium,11200,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-012,Chennai East Cluster 01,Chennai,East,Luxury,16980,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-013,Hyderabad West Cluster 01,Hyderabad,West,Affordable,5560,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-014,Bengaluru West Cluster 01,Bengaluru,West,Mid-market,8140,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-015,Pune West Cluster 01,Pune,West,Premium,11920,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-016,Chennai West Cluster 01,Chennai,West,Luxury,16800,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-017,Hyderabad Central Cluster 01,Hyderabad,Central,Affordable,5380,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-018,Bengaluru Central Cluster 01,Bengaluru,Central,Mid-market,7960,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-019,Pune Central Cluster 01,Pune,Central,Premium,11740,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-020,Chennai Central Cluster 01,Chennai,Central,Luxury,17520,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-021,Hyderabad North Cluster 02,Hyderabad,North,Affordable,5200,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-022,Bengaluru North Cluster 02,Bengaluru,North,Mid-market,7780,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-023,Pune North Cluster 02,Pune,North,Premium,11560,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-024,Chennai North Cluster 02,Chennai,North,Luxury,17340,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-025,Hyderabad South Cluster 02,Hyderabad,South,Affordable,5920,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-026,Bengaluru South Cluster 02,Bengaluru,South,Mid-market,7600,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-027,Pune South Cluster 02,Pune,South,Premium,11380,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-028,Chennai South Cluster 02,Chennai,South,Luxury,17160,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-029,Hyderabad East Cluster 02,Hyderabad,East,Affordable,5740,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-030,Bengaluru East Cluster 02,Bengaluru,East,Mid-market,8320,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-031,Pune East Cluster 02,Pune,East,Premium,11200,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-032,Chennai East Cluster 02,Chennai,East,Luxury,16980,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-033,Hyderabad West Cluster 02,Hyderabad,West,Affordable,5560,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-034,Bengaluru West Cluster 02,Bengaluru,West,Mid-market,8140,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-035,Pune West Cluster 02,Pune,West,Premium,11920,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-036,Chennai West Cluster 02,Chennai,West,Luxury,16800,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-037,Hyderabad Central Cluster 02,Hyderabad,Central,Affordable,5380,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-038,Bengaluru Central Cluster 02,Bengaluru,Central,Mid-market,7960,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-039,Pune Central Cluster 02,Pune,Central,Premium,11740,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-040,Chennai Central Cluster 02,Chennai,Central,Luxury,17520,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-041,Hyderabad North Cluster 03,Hyderabad,North,Affordable,5200,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-042,Bengaluru North Cluster 03,Bengaluru,North,Mid-market,7780,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-043,Pune North Cluster 03,Pune,North,Premium,11560,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-044,Chennai North Cluster 03,Chennai,North,Luxury,17340,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-045,Hyderabad South Cluster 03,Hyderabad,South,Affordable,5920,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-046,Bengaluru South Cluster 03,Bengaluru,South,Mid-market,7600,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-047,Pune South Cluster 03,Pune,South,Premium,11380,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-048,Chennai South Cluster 03,Chennai,South,Luxury,17160,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-049,Hyderabad East Cluster 03,Hyderabad,East,Affordable,5740,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-050,Bengaluru East Cluster 03,Bengaluru,East,Mid-market,8320,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-051,Pune East Cluster 03,Pune,East,Premium,11200,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-052,Chennai East Cluster 03,Chennai,East,Luxury,16980,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-053,Hyderabad West Cluster 03,Hyderabad,West,Affordable,5560,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-054,Bengaluru West Cluster 03,Bengaluru,West,Mid-market,8140,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-055,Pune West Cluster 03,Pune,West,Premium,11920,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-056,Chennai West Cluster 03,Chennai,West,Luxury,16800,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-057,Hyderabad Central Cluster 03,Hyderabad,Central,Affordable,5380,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-058,Bengaluru Central Cluster 03,Bengaluru,Central,Mid-market,7960,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-059,Pune Central Cluster 03,Pune,Central,Premium,11740,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-060,Chennai Central Cluster 03,Chennai,Central,Luxury,17520,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-061,Hyderabad North Cluster 04,Hyderabad,North,Affordable,5200,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-062,Bengaluru North Cluster 04,Bengaluru,North,Mid-market,7780,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-063,Pune North Cluster 04,Pune,North,Premium,11560,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
LOC-064,Chennai North Cluster 04,Chennai,North,Luxury,17340,2026-09-17T07:56:34.637Z,propiq_gold_v1.0
