record_uid,lead_id,listing_id,lead_channel_key,buyer_intent,qualified_flag,lead_status,budget_band,lead_timestamp,_gold_created_at,_gold_schema_version
LEAD-PHY-0000001,LED-00000001,LST-0018000,2,Medium,false,new,2Cr-5Cr,2026-05-25T18:19:50.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000002,LED-00000002,LST-0024708,4,Medium,true,qualified,1Cr-2Cr,2025-10-22T21:10:21.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000003,LED-00000003,LST-0020315,4,High,false,new,Under 50L,2026-04-17T01:24:48.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000004,LED-00000004,LST-0015485,3,Medium,true,negotiation,1Cr-2Cr,2025-03-01T21:32:16.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000005,LED-00000005,LST-0037002,4,Medium,true,qualified,1Cr-2Cr,2025-06-18T04:22:06.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000006,LED-00000006,LST-0019134,4,Exploratory,true,negotiation,50L-1Cr,2026-02-14T18:22:41.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000007,LED-00000007,LST-0009732,4,Medium,true,site_visit,1Cr-2Cr,2026-05-17T07:00:28.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000008,LED-00000008,LST-0004899,4,Medium,false,closed_unqualified,50L-1Cr,2026-04-18T01:45:58.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000009,LED-00000009,LST-0005907,6,Exploratory,true,negotiation,50L-1Cr,2026-02-24T22:13:22.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000010,LED-00000010,LST-0017045,4,Exploratory,true,qualified,Under 50L,2025-02-27T15:19:28.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000011,LED-00000011,LST-0004511,4,Medium,true,qualified,50L-1Cr,2025-11-20T11:46:19.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000012,LED-00000012,LST-0032930,4,Exploratory,false,contacted,1Cr-2Cr,2025-08-12T19:57:54.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000013,LED-00000013,LST-0000187,4,Exploratory,false,new,50L-1Cr,2026-03-04T14:40:53.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000014,LED-00000014,LST-0001084,4,High,true,qualified,Under 50L,2025-06-26T15:27:53.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000015,LED-00000015,LST-0016094,4,Medium,true,qualified,2Cr-5Cr,2025-09-30T16:51:58.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000016,LED-00000016,LST-0026471,4,High,true,site_visit,1Cr-2Cr,2026-01-03T12:37:27.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000017,LED-00000017,LST-0030723,3,Exploratory,false,new,1Cr-2Cr,2026-06-13T23:54:47.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000018,LED-00000018,LST-0035754,4,Medium,true,qualified,Under 50L,2025-07-04T10:32:55.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000019,LED-00000019,LST-0026387,4,Medium,true,qualified,2Cr-5Cr,2025-06-22T12:44:29.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000020,LED-00000020,LST-0026139,2,Exploratory,true,negotiation,50L-1Cr,2026-05-24T20:20:54.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000021,LED-00000021,LST-0032170,2,Medium,true,qualified,1Cr-2Cr,2025-10-17T23:10:16.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000022,LED-00000022,LST-0030191,6,High,true,qualified,1Cr-2Cr,2024-05-20T22:03:33.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000023,LED-00000023,LST-0036592,4,Medium,false,contacted,5Cr+,2025-12-15T23:47:55.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000024,LED-00000024,LST-0002783,1,Medium,false,new,1Cr-2Cr,2025-08-22T00:42:11.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
LEAD-PHY-0000025,LED-00000025,LST-0017536,1,High,true,site_visit,Under 50L,2026-02-21T16:41:49.000Z,2026-09-17T08:00:29.540Z,propiq_gold_v1.0
