record_uid,listing_id,locality_id,broker_id,property_key,price_band_key,listing_status,asking_price_inr,built_up_area_sqft,price_per_sqft,calculated_price_per_sqft,price_per_sqft_variance,listing_created_date,completion_date,last_updated_timestamp,is_completed,is_chronology_valid,actual_days_on_market,days_since_last_update,days_on_market_status_aware,_gold_created_at,_gold_schema_version
LISTING-PHY-0000003,LST-0000003,LOC-045,BRK-0215,2,3,rented,16873096,1973,8552,8552,0,2024-12-23,2025-03-01,2025-01-02T13:35:06.000Z,true,true,68,582,68,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000004,LST-0000004,LOC-036,BRK-0177,1,4,paused,21144060,1164,18165,18165,0,2024-10-31,,2024-11-08T16:45:22.000Z,false,,,637,686,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000008,LST-0000008,LOC-074,BRK-0011,2,3,active,12205728,1296,9418,9418,0,2024-01-30,,2024-05-18T02:03:22.000Z,false,,,811,961,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000014,LST-0000014,LOC-036,BRK-0030,1,4,active,32868426,1978,16617,16617,0,2025-08-07,,2025-10-26T21:54:56.000Z,false,,,285,406,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000023,LST-0000023,LOC-019,BRK-0147,2,3,active,18225429,1473,12373,12373,0,2024-09-06,,2025-01-31T17:24:20.000Z,false,,,553,741,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000028,LST-0000028,LOC-028,BRK-0291,8,3,withdrawn,11494207,683,16829,16829,0,2025-12-06,,2025-12-26T18:24:45.000Z,false,,,224,285,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000037,LST-0000037,LOC-022,BRK-0165,3,2,paused,9762396,966,10106,10106,0,2025-04-16,,2025-05-19T00:28:09.000Z,false,,,445,519,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000038,LST-0000038,LOC-062,BRK-0102,2,3,sold,12076932,1316,9177,9177,0,2025-05-30,2025-10-15,2025-06-25T10:03:34.000Z,true,true,138,408,138,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000048,LST-0000048,LOC-030,BRK-0050,2,3,active,16300053,1641,9933,9933,0,2024-06-01,,2024-08-27T10:16:58.000Z,false,,,710,838,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000052,LST-0000052,LOC-013,BRK-0314,2,2,active,6301503,1381,4563,4563,0,2024-03-24,,2024-03-27T03:05:58.000Z,false,,,863,907,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000059,LST-0000059,LOC-012,BRK-0249,3,4,paused,23468042,1586,14797,14797,0,2024-03-21,,2024-06-10T13:14:48.000Z,false,,,788,910,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000062,LST-0000062,LOC-045,BRK-0232,3,2,active,6795925,1219,5575,5575,0,2025-06-04,,2025-08-30T03:09:59.000Z,false,,,342,470,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000067,LST-0000067,LOC-077,BRK-0116,1,2,active,9939432,1704,5833,5833,0,2025-01-05,,2025-04-04T14:47:56.000Z,false,,,490,620,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000068,LST-0000068,LOC-019,BRK-0085,2,3,withdrawn,14988800,1171,12800,12800,0,2024-09-06,,2025-01-20T05:02:51.000Z,false,,,564,741,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000073,LST-0000073,LOC-011,BRK-0016,2,3,expired,15214179,1167,13037,13037,0,2024-06-07,,2024-06-10T11:09:01.000Z,false,,,788,832,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000078,LST-0000078,LOC-071,BRK-0161,3,3,active,11709222,1106,10587,10587,0,2025-07-20,,2025-10-21T06:26:55.000Z,false,,,290,424,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000082,LST-0000082,LOC-067,BRK-0194,1,2,sold,8787538,1037,8474,8474,0,2024-01-14,2024-03-22,2024-01-21T18:16:56.000Z,true,true,68,929,68,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000083,LST-0000083,LOC-017,BRK-0049,4,3,active,13015618,2453,5306,5306,0,2024-07-28,,2024-11-28T10:05:10.000Z,false,,,617,781,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000084,LST-0000084,LOC-068,BRK-0245,3,4,expired,22166508,1532,14469,14469,0,2024-10-27,,2024-11-23T01:25:34.000Z,false,,,622,690,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000093,LST-0000093,LOC-035,BRK-0270,1,3,sold,15716696,1244,12634,12634,0,2024-09-29,2024-12-24,2024-12-03T06:45:41.000Z,true,true,86,612,86,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000107,LST-0000107,LOC-049,BRK-0130,3,2,withdrawn,5376756,924,5819,5819,0,2024-06-05,,2024-10-14T20:40:29.000Z,false,,,662,834,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000111,LST-0000111,LOC-057,BRK-0116,2,1,sold,4992896,1216,4106,4106,0,2025-05-15,2025-06-20,2025-09-18T01:47:35.000Z,true,true,36,323,36,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000118,LST-0000118,LOC-017,BRK-0166,6,3,active,11285946,1971,5726,5726,0,2025-07-15,,2025-12-10T13:58:09.000Z,false,,,240,429,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000123,LST-0000123,LOC-077,BRK-0186,3,3,active,11141936,1768,6302,6302,0,2024-04-06,,2024-06-25T04:25:18.000Z,false,,,773,894,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000124,LST-0000124,LOC-014,BRK-0266,14,4,active,38754689,4721,8209,8209,0,2025-03-02,,2025-06-28T09:01:05.000Z,false,,,405,564,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000133,LST-0000133,LOC-037,BRK-0162,2,3,active,11926390,1735,6874,6874,0,2024-04-28,,2024-08-08T07:10:24.000Z,false,,,729,872,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000134,LST-0000134,LOC-056,BRK-0027,15,4,active,39879425,2075,19219,19219,0,2024-07-20,,2024-11-05T04:39:42.000Z,false,,,640,789,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000143,LST-0000143,LOC-030,BRK-0207,2,3,active,13933104,2066,6744,6744,0,2024-02-24,,2024-06-29T04:29:00.000Z,false,,,769,936,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000154,LST-0000154,LOC-038,BRK-0085,5,4,expired,23556330,2690,8757,8757,0,2024-09-11,,2024-12-31T16:20:43.000Z,false,,,584,736,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000162,LST-0000162,LOC-014,BRK-0084,1,2,expired,7358147,911,8077,8077,0,2024-01-02,,2024-01-08T04:19:47.000Z,false,,,942,989,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000167,LST-0000167,LOC-030,BRK-0103,1,2,rented,8579956,1246,6886,6886,0,2024-03-29,2024-06-13,2024-08-07T10:40:35.000Z,true,true,76,730,76,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000172,LST-0000172,LOC-008,BRK-0318,8,2,active,8681400,530,16380,16380,0,2025-11-05,,2026-01-23T11:47:40.000Z,false,,,196,316,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000173,LST-0000173,LOC-004,BRK-0001,3,3,active,17601687,1101,15987,15987,0,2024-07-04,,2024-10-12T16:04:11.000Z,false,,,664,805,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000174,LST-0000174,LOC-019,BRK-0080,2,4,sold,20699072,1984,10433,10433,0,2024-12-14,2025-02-02,2025-02-26T15:13:22.000Z,true,true,50,527,50,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000179,LST-0000179,LOC-047,BRK-0074,2,4,active,20635646,1426,14471,14471,0,2024-04-12,,2024-05-23T14:56:27.000Z,false,,,806,888,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000181,LST-0000181,LOC-041,BRK-0257,9,1,paused,4125264,601,6864,6864,0,2025-11-16,,2025-12-20T02:47:38.000Z,false,,,230,305,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000182,LST-0000182,LOC-077,BRK-0172,6,2,expired,6855940,1820,3767,3767,0,2024-08-19,,2024-08-20T09:57:09.000Z,false,,,717,759,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000184,LST-0000184,LOC-080,BRK-0083,2,4,active,28597103,1363,20981,20981,0,2024-08-07,,2024-12-02T04:47:44.000Z,false,,,613,771,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000188,LST-0000188,LOC-036,BRK-0316,2,3,active,16975817,821,20677,20677,0,2024-04-18,,2024-05-30T01:35:05.000Z,false,,,799,882,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000191,LST-0000191,LOC-025,BRK-0302,2,1,rented,2871724,508,5653,5653,0,2024-06-02,2024-09-20,2024-10-22T04:55:20.000Z,true,true,110,654,110,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000192,LST-0000192,LOC-033,BRK-0315,1,2,sold,5631358,898,6271,6271,0,2024-04-02,2024-06-12,2024-04-27T23:21:26.000Z,true,true,71,832,71,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000193,LST-0000193,LOC-055,BRK-0052,2,3,active,14372878,1261,11398,11398,0,2024-10-02,,2024-11-07T06:23:31.000Z,false,,,638,715,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000200,LST-0000200,LOC-012,BRK-0122,13,5,active,50756904,3373,15048,15048,0,2025-03-05,,2025-05-23T19:35:35.000Z,false,,,441,561,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000202,LST-0000202,LOC-062,BRK-0307,2,2,expired,8726574,1282,6807,6807,0,2024-11-02,,2025-03-07T11:02:43.000Z,false,,,518,684,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000208,LST-0000208,LOC-036,BRK-0093,2,3,active,13928592,878,15864,15864,0,2024-09-13,,2024-11-04T15:21:06.000Z,false,,,641,734,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000211,LST-0000211,LOC-053,BRK-0098,8,1,active,2965840,566,5240,5240,0,2024-07-08,,2024-11-20T00:02:20.000Z,false,,,625,801,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000217,LST-0000217,LOC-017,BRK-0147,2,2,paused,5203014,1019,5106,5106,0,2024-11-04,,2025-01-05T22:30:11.000Z,false,,,579,682,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000229,LST-0000229,LOC-080,BRK-0254,4,4,expired,46168756,2966,15566,15566,0,2024-09-09,,2025-01-13T02:00:56.000Z,false,,,571,738,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000231,LST-0000231,LOC-050,BRK-0246,7,1,active,3847970,490,7853,7853,0,2025-02-27,,2025-05-05T01:10:30.000Z,false,,,459,567,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000232,LST-0000232,LOC-001,BRK-0063,3,2,expired,7492680,1560,4803,4803,0,2024-07-27,,2024-08-08T13:39:56.000Z,false,,,729,782,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000234,LST-0000234,LOC-004,BRK-0118,1,4,rented,23916144,1904,12561,12561,0,2025-08-07,2025-11-12,2025-08-07T18:17:55.000Z,true,true,97,365,97,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000237,LST-0000237,LOC-050,BRK-0311,3,2,active,6814644,1129,6036,6036,0,2025-12-28,,2026-04-17T19:35:19.000Z,false,,,112,263,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000238,LST-0000238,LOC-074,BRK-0008,3,3,active,12106400,1850,6544,6544,0,2024-06-06,,2024-10-23T12:10:41.000Z,false,,,653,833,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000242,LST-0000242,LOC-069,BRK-0263,3,2,withdrawn,9109620,2290,3978,3978,0,2024-10-13,,2025-02-19T23:20:42.000Z,false,,,534,704,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000247,LST-0000247,LOC-005,BRK-0054,2,2,active,5945940,1170,5082,5082,0,2024-07-31,,2024-09-09T03:58:57.000Z,false,,,697,778,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000248,LST-0000248,LOC-073,BRK-0093,2,3,active,10178880,1844,5520,5520,0,2025-10-06,,2026-01-30T08:35:16.000Z,false,,,189,346,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000252,LST-0000252,LOC-002,BRK-0179,1,2,rented,8616888,1722,5004,5004,0,2025-12-29,2026-06-30,2026-02-23T18:29:58.000Z,true,true,183,165,183,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000254,LST-0000254,LOC-016,BRK-0314,4,4,expired,45363990,2910,15589,15589,0,2026-01-23,,2026-05-22T21:52:14.000Z,false,,,77,237,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000258,LST-0000258,LOC-070,BRK-0170,14,3,active,12885767,1763,7309,7309,0,2025-07-02,,2025-09-21T20:49:18.000Z,false,,,320,442,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000259,LST-0000259,LOC-024,BRK-0177,2,4,active,27471430,1582,17365,17365,0,2025-08-06,,2025-12-04T00:09:24.000Z,false,,,246,407,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000263,LST-0000263,LOC-063,BRK-0220,2,3,expired,19103385,1715,11139,11139,0,2024-07-28,,2024-08-20T23:09:11.000Z,false,,,717,781,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000264,LST-0000264,LOC-012,BRK-0234,3,4,sold,30771846,1923,16002,16002,0,2024-12-19,2025-06-23,2025-01-10T18:46:13.000Z,true,true,186,574,186,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000271,LST-0000271,LOC-029,BRK-0072,2,1,active,4428632,776,5707,5707,0,2024-07-16,,2024-11-02T14:42:04.000Z,false,,,643,793,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000278,LST-0000278,LOC-070,BRK-0238,1,3,active,17554908,2163,8116,8116,0,2024-02-12,,2024-06-09T06:39:35.000Z,false,,,789,948,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000291,LST-0000291,LOC-038,BRK-0281,7,1,rented,4911232,629,7808,7808,0,2025-03-09,2025-05-19,2025-05-18T12:08:33.000Z,true,true,71,446,71,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000293,LST-0000293,LOC-032,BRK-0123,2,3,sold,15283000,1054,14500,14500,0,2024-12-08,2025-01-19,2025-04-09T14:38:28.000Z,true,true,42,485,42,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000294,LST-0000294,LOC-039,BRK-0238,2,4,expired,21630994,1771,12214,12214,0,2024-11-01,,2025-01-02T01:34:32.000Z,false,,,582,685,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000301,LST-0000301,LOC-078,BRK-0250,7,1,paused,4803140,610,7874,7874,0,2025-10-24,,2026-03-10T03:57:46.000Z,false,,,150,328,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000308,LST-0000308,LOC-055,BRK-0163,15,3,rented,17825280,1408,12660,12660,0,2025-08-05,2026-01-09,2025-08-25T18:02:21.000Z,true,true,157,347,157,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
LISTING-PHY-0000314,LST-0000314,LOC-020,BRK-0295,2,4,expired,27425145,1437,19085,19085,0,2024-05-06,,2024-05-07T13:26:07.000Z,false,,,822,864,2026-09-17T07:59:25.037Z,propiq_gold_v1.0
