locality_id,active_listings,avg_active_days_on_market,stale_listing_count,stale_listing_rate_pct,_gold_created_at,_gold_schema_version
LOC-064,316,560.5,316,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-021,279,608.5,279,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-040,314,582.5,314,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-013,285,581.2,285,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-003,271,590.1,271,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-050,276,568.7,276,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-012,284,593.1,284,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-031,315,564.1,315,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-041,262,603.4,262,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-001,270,585.5,270,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-032,281,548.9,281,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-047,286,571.4,286,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-067,288,597.5,288,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-063,269,586.0,269,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-027,283,587.7,283,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-035,280,608.3,280,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-051,279,573.9,279,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-062,271,560.1,271,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-066,281,562.4,281,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-002,276,563.5,276,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-080,288,592.8,288,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-006,311,572.8,311,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-042,303,568.5,303,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-060,276,562.5,276,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-044,315,569.2,315,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-076,300,563.4,300,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-043,287,608.7,287,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-053,289,584.5,289,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-039,309,588.0,309,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-052,312,582.1,312,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-046,305,604.4,305,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-030,291,570.6,291,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-049,284,584.8,284,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-078,324,575.4,324,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-055,277,547.6,277,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-016,266,580.3,266,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-017,308,569.3,308,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-011,294,585.4,294,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-014,303,602.4,303,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-008,273,557.0,273,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-057,306,580.6,306,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-070,287,570.4,287,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-069,280,570.3,280,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-007,301,588.2,301,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-073,283,598.5,283,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-023,294,578.0,294,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-048,296,599.8,296,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-074,293,591.1,293,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-015,288,593.9,288,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-009,296,592.8,296,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-036,296,582.0,296,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-065,310,569.8,310,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-029,283,562.8,283,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-019,294,583.3,294,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-034,302,573.2,302,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-075,280,571.3,280,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-038,280,599.3,280,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-022,297,600.8,297,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-018,287,584.9,287,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-072,324,569.3,324,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-020,291,577.7,291,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-071,324,595.1,324,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-059,298,560.8,298,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-054,287,594.1,287,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-056,288,596.1,288,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-079,309,600.2,309,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-010,275,591.4,275,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-026,312,584.1,312,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-004,308,589.2,308,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-058,294,580.2,294,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-033,292,568.1,292,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-061,298,550.4,298,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-024,312,573.6,312,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-077,291,601.3,291,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-005,281,579.7,281,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-068,318,566.5,318,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-037,309,557.5,309,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-025,287,582.9,287,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-028,291,583.8,291,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
LOC-045,283,586.2,283,100.00,2026-09-17T08:32:48.123Z,propiq_gold_v1.0
