locality_id,listings_receiving_leads,total_leads,avg_leads_per_listing,listings_with_qualified_leads,closed_after_qualified_lead,lead_conversion_rate_pct,_gold_created_at,_gold_schema_version
LOC-064,519,1596,3.08,376,113,30.05,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-021,459,1440,3.14,357,98,27.45,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-003,457,1455,3.18,350,97,27.71,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-031,484,1542,3.19,351,115,32.76,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-013,484,1522,3.14,354,103,29.10,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-001,423,1295,3.06,306,79,25.82,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-041,436,1349,3.09,328,100,30.49,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-012,471,1462,3.10,359,112,31.20,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-032,471,1447,3.07,359,121,33.70,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-047,474,1510,3.19,354,108,30.51,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-050,474,1422,3.00,354,99,27.97,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-040,489,1527,3.12,369,95,25.75,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-067,475,1481,3.12,365,105,28.77,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-063,459,1417,3.09,353,105,29.75,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-035,456,1423,3.12,335,97,28.96,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-062,459,1395,3.04,333,81,24.32,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-027,460,1472,3.20,359,94,26.18,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-051,454,1370,3.02,339,95,28.02,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-066,469,1520,3.24,362,91,25.14,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-002,460,1414,3.07,343,103,30.03,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-080,500,1552,3.10,381,110,28.87,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-006,488,1494,3.06,352,90,25.57,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-042,498,1558,3.13,369,108,29.27,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-044,468,1474,3.15,366,96,26.23,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-076,479,1468,3.06,351,107,30.48,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-060,458,1465,3.20,345,100,28.99,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-043,464,1468,3.16,345,99,28.70,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-053,451,1426,3.16,353,99,28.05,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-039,464,1401,3.02,359,99,27.58,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-046,493,1535,3.11,347,87,25.07,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-052,489,1548,3.17,363,97,26.72,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-030,460,1475,3.21,347,93,26.80,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-016,451,1382,3.06,330,106,32.12,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-078,479,1395,2.91,334,84,25.15,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-049,462,1400,3.03,337,98,29.08,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-055,477,1481,3.10,359,103,28.69,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-017,481,1515,3.15,362,103,28.45,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-011,467,1457,3.12,346,97,28.03,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-008,449,1394,3.10,324,108,33.33,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-057,489,1526,3.12,379,93,24.54,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-014,485,1524,3.14,361,92,25.48,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-070,498,1529,3.07,363,110,30.30,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-073,486,1501,3.09,359,98,27.30,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-069,519,1722,3.32,406,126,31.03,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-048,481,1515,3.15,362,104,28.73,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-007,465,1525,3.28,366,101,27.60,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-023,470,1489,3.17,359,102,28.41,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-036,467,1439,3.08,342,104,30.41,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-074,500,1534,3.07,377,120,31.83,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-015,431,1345,3.12,325,81,24.92,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-065,493,1533,3.11,371,106,28.57,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-009,487,1501,3.08,364,109,29.95,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-029,458,1441,3.15,354,92,25.99,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-019,462,1386,3.00,344,89,25.87,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-022,479,1487,3.10,362,101,27.90,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-034,495,1543,3.12,366,98,26.78,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-075,472,1468,3.11,351,96,27.35,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-018,468,1382,2.95,329,100,30.40,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-038,468,1445,3.09,356,107,30.06,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-072,498,1527,3.07,372,99,26.61,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-020,487,1563,3.21,364,102,28.02,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-071,511,1569,3.07,391,98,25.06,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-059,446,1387,3.11,332,85,25.60,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-054,487,1497,3.07,362,110,30.39,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-010,465,1422,3.06,348,95,27.30,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-079,465,1483,3.19,349,84,24.07,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-056,481,1586,3.30,365,104,28.49,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-026,465,1429,3.07,360,98,27.22,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-061,497,1482,2.98,372,116,31.18,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-077,495,1558,3.15,367,110,29.97,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-005,445,1358,3.05,332,97,29.22,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-058,475,1517,3.19,356,98,27.53,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-004,488,1539,3.15,367,127,34.60,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-024,495,1604,3.24,374,98,26.20,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-033,465,1420,3.05,333,91,27.33,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-068,492,1560,3.17,369,91,24.66,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-025,458,1384,3.02,342,99,28.95,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-028,457,1360,2.98,336,77,22.92,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-045,462,1484,3.21,356,102,28.65,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
LOC-037,487,1489,3.06,360,105,29.17,2026-09-17T08:14:24.024Z,propiq_gold_v1.0
