locality_id,total_listings,avg_days_on_market,stale_listing_count,active_listing_count,_gold_created_at,_gold_schema_version
LOC-064,670,433.6,316,316,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-021,607,446.9,279,279,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-040,620,456.9,314,314,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-013,592,433.5,285,285,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-003,582,449.2,271,271,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-050,610,443.8,276,276,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-012,613,426.8,284,284,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-031,644,432.6,315,315,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-041,578,452.6,262,262,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-001,565,464.8,270,270,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-032,625,413.6,281,281,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-047,596,448.1,286,286,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-067,614,462.7,288,288,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-063,590,440.3,269,269,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-027,593,453.6,283,283,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-035,593,456.1,280,280,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-051,592,449.1,279,279,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-062,603,443.1,271,271,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-066,609,445.6,281,281,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-002,572,441.6,276,276,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-080,641,445.6,288,288,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-006,591,472.2,311,311,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-042,645,433.5,303,303,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
LOC-060,590,449.2,276,276,2026-09-17T08:11:21.589Z,propiq_gold_v1.0
