locality_id,locality_name,city,city_zone,market_segment,total_listings,active_listings,median_listing_price,median_price_per_sqft,_gold_created_at,_gold_schema_version
LOC-014,Bengaluru West Cluster 01,Bengaluru,West,Mid-market,646,303,12242776,8168,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-052,Chennai East Cluster 03,Chennai,East,Luxury,623,312,24944170,17155,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-025,Hyderabad South Cluster 02,Hyderabad,South,Affordable,598,287,8606745,5973,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-072,Chennai East Cluster 04,Chennai,East,Luxury,628,324,24941784,17007,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-055,Pune West Cluster 03,Pune,West,Premium,623,277,17787051,11831,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-022,Bengaluru North Cluster 02,Bengaluru,North,Mid-market,616,297,11598588,7702,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-003,Pune North Cluster 01,Pune,North,Premium,582,271,17222088,11482,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-002,Bengaluru North Cluster 01,Bengaluru,North,Mid-market,572,276,11785020,7873,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-073,Hyderabad West Cluster 04,Hyderabad,West,Affordable,620,283,8334747,5546,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-070,Bengaluru East Cluster 04,Bengaluru,East,Mid-market,636,287,12656745,8199,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-047,Pune South Cluster 03,Pune,South,Premium,596,286,17347946,11352,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-044,Chennai North Cluster 03,Chennai,North,Luxury,617,315,26760720,17356,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-056,Chennai West Cluster 03,Chennai,West,Luxury,618,288,25141412,17004,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-036,Chennai West Cluster 02,Chennai,West,Luxury,608,296,25081528,16706,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-037,Hyderabad Central Cluster 02,Hyderabad,Central,Affordable,626,309,8143454,5501,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-012,Chennai East Cluster 01,Chennai,East,Luxury,613,284,26032314,17052,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-077,Hyderabad Central Cluster 04,Hyderabad,Central,Affordable,625,291,7906206,5358,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-079,Pune Central Cluster 04,Pune,Central,Premium,605,309,17753692,11772,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-069,Hyderabad East Cluster 04,Hyderabad,East,Affordable,653,280,8611284,5719,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-018,Bengaluru Central Cluster 01,Bengaluru,Central,Mid-market,607,287,12279498,7981,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
LOC-054,Bengaluru West Cluster 03,Bengaluru,West,Mid-market,638,287,12138329,8056,2026-09-17T08:05:30.289Z,propiq_gold_v1.0
